,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2011-05-31,13.916346021010478,8.144341923129168,47.31431689416149,21.262653489099616,8.154135411777817,24.418582792704814,7.85669295120938,29.729810670162315,27.06086703336153,27.291554807944244,30.698705107823084
2011-06-30,13.772252055122793,7.974511604115368,48.397062582983054,21.306172840636698,8.115477528666982,24.191003398312123,7.924822299872778,29.91478427476646,27.571091371907766,26.693751058051273,30.550428836470488
2011-07-29,13.510559845610592,7.801018359520763,48.34191729989463,21.68118561052602,8.03822578595319,24.595523997821346,7.571130881318049,31.27876132770038,27.07984100188416,26.371661754653275,30.664610886666786
2011-08-31,12.685351710047108,7.397783355590065,50.841594404019276,21.874681956587192,7.901218841553105,23.890061779715168,6.580599360359915,32.8651764661498,27.349257289473048,26.904650887119356,32.15037905408506
2011-09-30,11.594508847214481,7.156521825562537,54.48031714363176,21.614105753049582,7.749376832456645,23.210751517343063,5.354011053113191,34.4916926293562,28.25326356608634,27.275989366230277,36.30647159421671
2011-10-31,12.583462529764688,7.395600018730269,53.99039790972257,21.226369697817145,7.76970633441216,23.937258580061,6.0496880439261815,33.340139248543665,26.86285213314312,28.114143395754063,34.0381286796085
2011-11-30,12.413103205028111,7.366136761033961,55.6622133844455,20.93629936731013,7.810580207098562,24.297974524178585,5.832039872802309,33.74712453977447,27.455122436971575,27.783173129181346,34.0483320917613
2011-12-30,12.271301075710644,7.242305283029133,56.378450964157,20.756357729706973,7.565016909424213,24.31766570846736,5.649037462374322,34.62395714478118,26.237143749821097,28.77132957878447,35.59732842528893
2012-01-31,12.83320490239667,7.542974853602978,54.54364075230093,20.900251326721577,7.762892510901527,23.92321566141198,5.970267794593719,34.58548059992138,25.98027282423025,28.414392323907983,33.84781214721603
2012-02-29,13.240057406514088,7.593434622050134,52.70990293350358,20.68856091472242,7.840924649113855,23.94907218358829,6.322916780592175,33.841359844496104,27.11229038746308,28.136138153922946,33.116760349488466
2012-03-30,13.384052276070033,7.641321555023874,53.72796451760079,20.130167778773263,7.977675538460877,24.028293662824183,6.636174614211877,33.991288506291085,25.903132743084857,28.140831387546438,34.17334703705555
2012-04-30,13.201101983655672,7.47164364962144,56.01999686092608,20.167710553602884,7.819604878058268,23.861129918898573,6.300194325207551,34.69609788596671,25.063852392043373,28.64919299691731,34.7388220650014
2012-05-31,12.373238569348079,7.280299873249738,56.326830563290216,20.32836667853885,7.675335061593024,22.873167263201942,5.474655423294869,37.341154856177575,24.86574877838843,30.007014226352506,36.841297347018475
2012-06-29,12.866833820318663,7.273574605716971,57.79612711766898,20.281743233252346,7.659011043962185,23.219172340112877,5.78908262232435,35.85904089313753,24.500865512247316,29.24959729816331,36.471231179974325
2012-07-31,12.825425110968295,7.083790249133462,58.68273771633969,20.240226911727852,7.611057882531897,23.111476711544288,5.633984902085079,36.11245372473889,24.26877523085542,29.820331635192755,36.77535095535281
2012-08-31,13.034688696042522,7.111638474505435,57.33186785920386,20.073172731462193,7.640814714322595,23.146088886486925,5.8024371269236985,35.06160760405601,24.668446497459154,29.974968565148334,37.28219424150981
2012-09-28,13.248623873466698,7.120500960157032,55.28407693393694,19.990911838380438,7.730185855307127,23.417086213687877,6.067063361970551,34.71367154953994,25.617474506352295,30.01834101526868,36.079228368750265
2012-10-31,13.146138454894174,7.0185328694535905,58.17862639804453,20.23611873889286,7.599870504990211,22.991318416281633,6.04655106619586,33.83089616380406,25.64014857965429,29.677777519423035,35.9815936481111
2012-11-30,13.329997422181352,7.072564768356029,55.00785112473732,20.39734353215349,7.685107271643907,23.457956508870247,6.077267779943527,33.56612630627474,26.1381439388511,29.417325010309643,36.12215862098193
2012-12-31,13.685576974968718,7.192032169726605,54.979843482745025,20.69471748081427,7.757568961805091,23.930995040499226,6.382863105436619,32.95786575208123,25.80877645321349,28.717317244679062,34.55288868084512
2013-01-31,14.004839784624178,7.528691937171214,56.83092984388285,20.022040581495933,7.867969263438578,24.015887120718908,6.704762180685566,32.141797684546944,25.30089548839305,28.32405058863063,35.11565569239546
2013-02-28,13.965085532106922,7.531779121940982,56.498495540841006,19.814523580876447,7.8356505497842655,23.962089307218275,6.642950918134548,33.373575833963464,25.073281027440604,27.848999732890345,36.0728918437454
2013-03-28,14.11934663431397,7.694539887137282,57.95039528233745,19.341881951102238,7.848026115443473,23.98133753411275,6.751264281802477,33.66102393279886,24.666753485819914,27.21312139717781,36.97556529198665
2013-04-30,14.462702005767612,7.6839229128730135,57.109088664171686,19.618884006664864,7.951873986749419,24.54388129064294,6.6699402215478125,33.301988060522525,23.901613382847703,26.69576805600584,37.49003479495147
2013-05-31,14.37684421326952,7.873233086094799,57.102382505815335,18.664307751111956,7.929364496594623,24.068236298545276,6.96882665606,32.4355272479957,24.764622912277495,28.17536927774848,38.47352673370152
