Date,EEM,EFA,IYR,LQD,SHY,TLT,VTI
2015-11-24,32.419029235839844,54.98747634887695,65.44635772705078,102.83114624023438,81.04212951660156,110.58392333984375,100.28728485107422
2015-11-25,32.16872024536133,55.1146125793457,65.66497802734375,102.92890167236328,81.05170440673828,110.84022521972656,100.36199188232422
2015-11-27,31.464157104492188,55.12369918823242,66.1896743774414,102.96446228027344,81.07089233398438,110.73038482666016,100.51140594482422
2015-11-30,31.510513305664062,55.07829284667969,65.76990509033203,103.00888061523438,81.04212951660156,111.16973114013672,100.08183288574219
2015-12-01,31.75154685974121,55.65950012207031,66.58318328857422,103.78295135498047,81.09102630615234,112.67134857177734,101.02503204345703
2015-12-02,31.37145233154297,55.0692024230957,65.32392883300781,103.53340911865234,81.02389526367188,112.70806884765625,99.96975708007812
2015-12-03,31.19532012939453,54.80584716796875,64.36198425292969,102.16093444824219,81.02389526367188,109.64427185058594,98.47559356689453
2015-12-04,31.408533096313477,55.25083541870117,65.43760681152344,102.71348571777344,81.0430908203125,110.6074447631836,100.28728485107422
2015-12-07,30.889387130737305,54.896663665771484,65.26271057128906,102.8917465209961,81.03350830078125,111.68067169189453,99.50285339355469
2015-12-08,30.54637908935547,54.08842468261719,65.10530090332031,102.75806427001953,81.02389526367188,111.73571014404297,98.9051742553711
2015-12-09,30.29607582092285,53.843231201171875,64.70304107666016,102.73129272460938,81.05268096923828,111.61646270751953,98.05535125732422
2015-12-10,30.092119216918945,53.8523063659668,64.33575439453125,102.49068450927734,81.00474548339844,111.76323699951172,98.34484100341797
2015-12-11,29.24850082397461,52.826114654541016,64.03842163085938,102.6689224243164,81.10060119628906,113.52444458007812,96.41175079345703
2015-12-14,29.72130012512207,52.90784454345703,64.23957824707031,101.9113998413086,81.00474548339844,112.0567626953125,96.75728607177734
2015-12-15,30.17555809020996,53.17120361328125,64.9478988647461,101.9203109741211,80.99515533447266,111.39630126953125,97.79387664794922
2015-12-16,30.768869400024414,54.24280548095703,66.22465515136719,101.90245819091797,80.92807006835938,111.15782928466797,99.21333312988281
2015-12-17,30.370235443115234,53.5526237487793,65.90109252929688,102.01834106445312,80.92807006835938,112.41451263427734,97.75651550292969
2015-12-18,30.26826286315918,52.98958206176758,65.06159210205078,102.01834106445312,81.03350830078125,113.03828430175781,96.09425354003906
2015-12-21,30.504426956176758,53.23542785644531,65.39388275146484,102.0896224975586,81.02389526367188,113.0107650756836,96.8578109741211
2015-12-22,30.74921417236328,53.638519287109375,65.66497802734375,101.95594024658203,81.00474548339844,112.19435119628906,97.73124694824219
2015-12-23,31.18229866027832,54.53630828857422,66.40828704833984,102.04507446289062,80.9759750366211,111.35045623779297,98.95217895507812
2015-12-24,31.069318771362305,54.4447021484375,66.42610931396484,102.37771606445312,81.00762939453125,111.9884033203125,98.83007049560547
2015-12-28,30.8527774810791,54.31644821166992,66.6209487915039,102.2525863647461,80.95970916748047,112.31929779052734,98.61407470703125
2015-12-29,30.881023406982422,54.856956481933594,67.30294036865234,101.72529602050781,80.94049835205078,110.45328521728516,99.66595458984375
2015-12-30,30.400861740112305,54.52715301513672,67.00179290771484,101.72529602050781,80.95970916748047,110.34300994873047,98.91461181640625
2015-12-31,30.30670928955078,53.79425811767578,66.49697875976562,101.89512634277344,80.92131042480469,110.83936309814453,97.9566421508789
2016-01-04,29.478195190429688,52.969757080078125,65.85042572021484,101.84147644042969,81.02684020996094,111.63906860351562,96.49153137207031
2016-01-05,29.544097900390625,52.887306213378906,66.93096160888672,101.89512634277344,80.97887420654297,111.18867492675781,96.70753479003906
2016-01-06,28.979204177856445,52.01699447631836,66.70951843261719,102.2972640991211,81.02684020996094,112.68701171875,95.41146087646484
2016-01-07,28.08478355407715,50.93598556518555,65.22158813476562,102.37771606445312,81.05559539794922,112.88920593261719,93.0728988647461
2016-01-08,27.78350830078125,50.32218933105469,64.45104217529297,102.45813751220703,81.11316680908203,113.394775390625,92.01161193847656
2016-01-11,27.774093627929688,50.53289031982422,64.7078857421875,102.1274642944336,81.14192962646484,112.1538314819336,91.95527648925781
2016-01-12,27.830581665039062,50.77107620239258,64.2562026977539,102.35984802246094,81.15154266357422,113.77164459228516,92.58451843261719
2016-01-13,27.53871726989746,49.98322296142578,63.281944274902344,102.67266845703125,81.1994857788086,114.89313507080078,90.1989974975586
2016-01-14,27.896482467651367,50.62450408935547,63.19338607788086,102.16323852539062,81.2186508178711,113.817626953125,91.57958984375
2016-01-15,26.79493522644043,48.792266845703125,62.475975036621094,102.01129913330078,81.28580474853516,115.59173583984375,89.65428161621094
2016-01-19,27.19036293029785,49.241172790527344,62.6619758605957,101.55549621582031,81.27621459960938,115.23324584960938,89.56036376953125
2016-01-20,26.59722328186035,48.12350845336914,60.99689865112305,101.70742797851562,81.33377075195312,116.44660186767578,88.67752838134766
2016-01-21,26.700786590576172,48.48079299926758,61.404300689697266,101.41251373291016,81.32418823242188,115.65607452392578,89.02501678466797
2016-01-22,27.614036560058594,49.90993118286133,63.10481262207031,101.47505187988281,81.29544830322266,115.21484375,90.92219543457031
2016-01-25,27.14328956604004,49.241172790527344,62.484832763671875,101.36778259277344,81.29544830322266,115.83991241455078,89.42887115478516
2016-01-26,27.53871726989746,50.12063980102539,63.82221221923828,101.65379333496094,81.33377075195312,115.89505767822266,90.79069519042969
2016-01-27,27.44456672668457,49.79999542236328,62.83025360107422,101.37674713134766,81.35296630859375,115.86749267578125,89.7575912475586
2016-01-28,27.877653121948242,49.94657897949219,62.413970947265625,101.4928970336914,81.35296630859375,116.03295135498047,90.1144790649414
2016-01-29,28.781490325927734,50.826045989990234,63.76907730102539,102.0202407836914,81.44889068603516,117.01651763916016,92.3497314453125
2016-02-01,28.50845718383789,50.77107620239258,63.777931213378906,101.6949691772461,81.4056625366211,116.65824127197266,92.36851501464844
2016-02-02,27.585790634155273,49.58929443359375,63.10481262207031,101.88323974609375,81.51127624511719,118.822509765625,90.58406829833984
2016-02-03,28.367229461669922,50.001548767089844,63.41478729248047,101.63225555419922,81.53045654296875,117.83707427978516,91.12879180908203
2016-02-04,28.583776473999023,50.065673828125,63.485660552978516,101.67707061767578,81.5496597290039,118.40809631347656,91.34481048583984
2016-02-05,28.25425148010254,49.29613494873047,62.0597038269043,101.65912628173828,81.53045654296875,118.54622650146484,89.46644592285156
2016-02-08,27.868240356445312,48.380027770996094,60.23520278930664,102.18798065185547,81.62645721435547,121.09729766845703,88.07646179199219
2016-02-09,27.482227325439453,47.82119369506836,59.260963439941406,101.83843231201172,81.59767150878906,121.22624206542969,87.96376037597656
